characterId,guildId,role
eff79c32-31ce-448e-8298-d9d48294e006,b473f6a8-a138-47c0-a9df-dc26f9c44159,leader
1f8e5411-47b5-4366-b8b4-fcf019195c61,13a7f786-6030-4de0-bb6e-79d6a7b7f7e3,leader
44de76f3-e46d-4f50-9472-12709603f801,b347a95c-ca8b-41ea-9f29-6783366551d6,officer
889d54e8-3cac-4ca0-bdda-f44a31af5bc2,5469c24f-e170-48d9-bc01-e662350ea21e,member
f1838f82-5ae5-42d9-87fe-7b1495c4b025,1cc9c3db-a0d5-4a56-b57b-a023084827ba,member
ee150b3d-eca1-4726-9360-f6cffc79f638,71be0821-6a89-4d89-a833-1a84fe93c183,member
bfe36b62-2494-4b87-82f2-c8eb747a25ac,ef772693-b366-47ba-abb3-6f9cda3be6f3,member
3a1b38a5-249d-4b84-9182-d73b575c0f5f,14dc52f4-dc8c-486e-9228-e2a25d824bd0,member
b77ce7c5-4764-4b97-92e7-1589d66cf85d,be48c3c4-fd60-42d0-9f34-dfd76e7c605d,member
5d992d81-7797-4186-819e-954d5969c164,5013ad54-5261-43e3-86d6-596655bf5617,member
be0a13c6-9e50-4fc3-9af5-b423bae92f7c,5a6c44ff-359e-42df-ade8-4858b263e8a8,member
0f0aa93a-ce77-438e-8b0f-9e1a786e962e,c66078af-6de7-4976-b8f9-70bfba71b7df,member
a12b378b-dc66-405b-b292-8f3955d1845b,a9fa38a4-2344-459e-bac5-6789798957ca,member
6a5a9c41-7703-42c2-a8db-158a011b7497,adbd45af-5bfd-43dd-b89f-465c3c1f6d1b,officer
58d10e4a-6e8c-4d1d-b1af-c18273910a2b,53bd49de-4b45-42d1-aa70-674dc95e1a61,member
a87b9603-2048-4dc9-a819-ef73bd82a63e,1b093480-035c-4fec-8c85-66dc81e7d931,member
8058f8d4-49fa-4395-86ef-9d5a67a0a7f9,759d0cd7-4fc9-4bc6-a736-b1bccbc09f12,member
d06da9be-a85a-43fa-8313-760d024d26ba,425bc6d9-4746-4ae5-9f79-19df9a09b9a4,member
c481634a-c3f7-4109-b494-d5684d430ad2,a77e67df-f12f-4e99-92d0-7ea532b26df5,member
6430ceb8-7c62-43bf-b1e7-e5b366aefd00,4037182b-1b3f-448e-b2cc-a4af5b4cf281,member
0341287a-978f-42a9-b5d4-0bcd2d5a8e60,36af79d5-e241-4430-b5d4-fb869bce7645,member
8e26cfed-f9b6-413a-808d-75d5cc12fe2c,c9d48605-d0ab-496a-a5e4-340347d8368d,member
7226bb2d-adb8-4491-bdfc-9102b674261c,59b13988-5c60-454d-9aaf-1a10979694ff,member
6cc17f93-a7ea-4cf6-bbb7-5c61ed449baf,4a39420f-0bf1-4990-8c91-2f6b72e94d41,member
3ebde76f-588e-4b00-a5d3-2863ce8e0319,3b5a7d4f-6497-49ea-8616-8b303d32b1df,officer
b4adeefd-ef3d-4dfa-9441-6af5553508a6,26207583-c3c1-4d96-bc6a-15fa3ac5bdde,member
e78418bc-7d66-447e-9c2f-2984882fc9c8,ee2cd7b7-1658-4e8f-b0c3-27d48a7c4dde,member
d5741e6a-285f-4a73-9374-a6d6622fa2d8,dbc66fc1-e413-4726-88b9-989fd2b3e589,leader
3ea6dba9-2b61-4366-ae5f-52cc5cca0252,449f3ad6-c1db-4417-be4e-e35b960a8bbe,leader
8ffc6450-7efa-46a2-b893-c2e2c8eb838c,0f80c4de-7ef3-437f-8528-542e88eba36a,leader
2adc994e-6f0b-418a-a5a6-be2c2ab9e2b3,c0992e25-0769-494d-a0a7-b6e1ff2aa4e0,leader
3502a2e4-9ef4-41a9-b1b3-d4246afee7fc,dd3c4caf-d4ea-48eb-bf92-595c1f6cb6be,leader
86dd411a-acb0-488f-8216-4ecf1553da08,12e331a7-9181-4219-981c-4d9f777628aa,leader
2fbaa2ee-3e09-47b0-afac-eaed407f3e12,072954c4-98a5-4e92-8140-3911f709895f,leader
c464c38f-2194-4e40-a30f-d1d28f9dbdb7,c3baf446-5186-4cc6-a26b-3e13a14e71d6,leader
1b0eac25-cccf-4a8b-80d6-c34447c67a4a,fbe7bd55-5797-4291-b2f1-4922446091ef,officer
fa13e505-baf9-442c-9956-feb5fb9de24d,78bd8f02-5813-473b-840b-6854aeb3a5cc,leader
9fa9ce3d-a9ec-42f5-9f0a-f91879a5a746,6d3f8898-a6b1-4bd8-8216-46edef2b1d03,leader
ad133901-b043-4564-bc45-4ab71235b321,6d1befe8-4ac8-4077-89c3-54456dca044c,leader
12584dda-ff96-4eab-9d86-24887d08d617,c44418e7-400f-4891-ba78-508ea6f16bc3,leader
