characterId,itemId,expiryTime
db8f6b7c-1bc6-4f54-b529-75b5a84a1eaf,0fd3f5f1-58b4-472e-8f7e-b5d90a667913,2025-06-01 14:21:54
18dc8e39-c3a2-45fa-b737-a10239531f0f,529a5dec-755e-4620-947e-0b884d7cba82,2025-06-01 12:49:49
c5034085-6cbd-415c-a59e-5489201633f1,aa256690-ebf0-4c25-b232-820ee0a50ed8,2025-06-01 12:49:34
bd53a82c-2d59-4421-a3e9-680f68235607,1e98bcb9-4340-4769-9f06-cd52a8ece242,2025-06-01 13:02:11
c59abe2f-2200-4420-9d17-461f156edf5a,3e208872-3a68-4bf0-ba98-dd3f9e7b19ee,2025-06-01 12:58:02
b1d3f992-6e16-4302-8e64-598410f7fa79,f9453ffe-2407-442a-ad3a-7fbc7229b70d,2025-06-01 14:20:42
0a4e7c6c-04a3-44c6-bab1-99a56b9e9d4d,495e05fe-c902-405e-9820-9e5ffe664d0f,2025-06-01 13:29:49
c14ce3ec-307b-4c3e-92cc-ce195463a129,9aa09fee-c165-4259-8153-7bdd2b95fd82,2025-06-01 13:18:09
f3a99ecc-98d6-4039-8809-d187060ff7eb,86c4e236-3870-4c25-a264-0563552a041d,2025-06-01 13:13:20
27d0f3a2-4803-4b3c-8a1c-4b24077ae4db,6404f6be-177f-42e1-b8ef-d921a58be6ca,2025-06-01 13:44:44
61afae6e-e8ef-4d33-a5a3-a5c78de228bc,52b299ca-910e-4a1d-a2cb-20e7d07e50e2,2025-06-01 15:07:24
55b6ef3d-93bc-4a00-8c1e-52de85de9073,34b157a1-0e1b-4b47-83c8-dee8ed890ccc,2025-06-01 13:01:52
bad018f1-50ae-45c6-921f-2b0edbe206e6,f79eb589-b643-4032-a2cb-fbb5c7580795,2025-06-01 13:08:14
1cc20c7f-ce75-4c8a-900e-e8f912a86d67,94d02c41-74b0-43a0-8f32-b12185f36692,2025-06-01 12:56:53
9fa9ce3d-a9ec-42f5-9f0a-f91879a5a746,384f014b-f356-4e3e-a496-53a8a5ff77df,2025-06-01 17:03:18
837ab0e0-28cd-4c8d-b71f-b667c0f6772e,aa8e9bc4-d797-4062-b0c9-286b57211754,2025-06-01 14:13:20
04a16eb1-f1c5-4e2b-8257-90e2e71d14ea,3e2dd4ea-05d7-4cb1-ba71-75f25b73425f,2025-06-01 12:56:32
8c366881-1685-4a52-a235-98fdce9e5165,d8cc46b9-56e9-42b9-9d82-5d7b4217950f,2025-06-01 13:00:09
0e55a1ef-3241-49cf-a029-dd86bc2b7db5,34b157a1-0e1b-4b47-83c8-dee8ed890ccc,2025-06-01 12:50:41
eb25745c-8118-4cd0-8d80-83bb98695471,86c4e236-3870-4c25-a264-0563552a041d,2025-06-01 12:46:36
2e848245-eadf-49ce-b19f-c3b0e8d170a8,495e05fe-c902-405e-9820-9e5ffe664d0f,2025-06-01 14:08:24
4670ac9b-59a4-4480-ba63-f9c47fe2e183,66c3b531-f79c-497c-86af-9c2003f019a4,2025-06-01 14:02:37
f6a1f786-4c22-4239-8911-85c7e286932a,6051d03f-61cc-47eb-a08f-4d3ddcb42e4d,2025-06-01 13:23:20
f8eab94d-1b9a-4cae-a437-8d6c919572ad,b59867d1-5e23-4913-9289-38aa93cdde2b,2025-06-01 15:05:28
a8a47c05-d403-4410-b5d4-d0e597956db3,2cce8b23-c916-4e85-95cd-e531a7d588d3,2025-06-01 12:46:49
b3b984ed-63d4-4fb5-b563-c45648eb7ef2,1f547725-5b54-4820-9014-073af64adeab,2025-06-01 13:03:38
